timestamp,restaurant,original_order,corrections,
2025-08-28T16:51:28,home(test),5kg brocoli,Product corrected from 'brocoli' to 'Broccoli',
2025-08-28T16:53:01,home(test),5kg Donia,Product corrected from 'Donia' to 'Coriander',
2025-08-28T17:55:05,home(test),"3bg onion
5kg tom
6 carrot 
2bg potatos
3kg ginger 
1kg chiken 
1bg brocoli",Product corrected from 'tom' to 'Tomato'
2025-08-28T17:55:07,home(test),"3bg onion
5kg tom
6 carrot 
2bg potatos
3kg ginger 
1kg chiken 
1bg brocoli",Product corrected from 'chiken' to 'Chicken'
2025-08-28T17:55:08,home(test),"3bg onion
5kg tom
6 carrot 
2bg potatos
3kg ginger 
1kg chiken 
1bg brocoli",Product corrected from 'brocoli' to 'Broccoli'
2025-08-28T17:58:27,home(test),"3bg onion
5kg tom
6 carrot 
2bg potatos
3kg ginger 
1kg chiken 
1bg brocoli",Product corrected from 'tom' to 'Tomato'
2025-08-28T17:58:31,home(test),"3bg onion
5kg tom
6 carrot 
2bg potatos
3kg ginger 
1kg chiken 
1bg brocoli",Product corrected from 'chiken' to 'Chicken'
2025-08-28T17:58:31,home(test),"3bg onion
5kg tom
6 carrot 
2bg potatos
3kg ginger 
1kg chiken 
1bg brocoli",Product corrected from 'brocoli' to 'Broccoli'
2025-08-28T18:06:31,home(test),5kg tom,Product corrected from 'tom' to 'Tomato'
2025-08-28T18:06:34,home(test),1kg chiken ,Product corrected from 'chiken' to 'Chicken'
2025-08-28T18:06:34,home(test),1bg brocoli,Product corrected from 'brocoli' to 'Broccoli'
2025-08-28T18:07:11,home(test),5kg tom,Product corrected from 'tom' to 'Tomato'
2025-08-28T18:07:13,home(test),1kg chiken ,Product corrected from 'chiken' to 'Chicken'
2025-08-28T18:07:14,home(test),1bg brocoli,Product corrected from 'brocoli' to 'Broccoli'
2025-08-28T18:11:21,home(test),5kg tom,Product corrected from 'tom' to 'Tomato'
2025-08-28T18:11:23,home(test),1kg chiken ,Product corrected from 'chiken' to 'Chicken'
2025-08-28T18:11:24,home(test),1bg brocoli,Product corrected from 'brocoli' to 'Broccoli'
2025-08-28T18:12:46,home(test),1bg chiken,Product corrected from 'chiken' to 'Chicken'
2025-08-29T16:17:43,Spice Merchant,1bx Tom,Product corrected from 'Tom' to 'Tomato'
2025-08-29T16:17:43,Spice Merchant,1bg donia,Product corrected from 'donia' to 'Coriander'
2025-08-29T16:47:57,My Test Restaurant,2bx Tom,Product corrected from 'Tom' to 'Tomato'
2025-08-29T17:18:46,My Test Restaurant,,Product corrected from 'Tom' to 'Tomato'
2025-09-01T11:29:51,Spice Merchant,RED PEPPER-12p,Product corrected from 'PEPPER-12p' to 'Apple'
2025-09-01T11:30:04,Spice Merchant,COURGETTES-2kg,Product corrected from 'COURGETTES-2kg' to 'Lettuce'
2025-09-01T11:51:00,Spice Merchant,RED PEPPER-12p,Product corrected from 'PEPPER-12p' to 'Pear'
2025-09-01T11:52:10,Spice Merchant,RED PEPPER-12p,Product corrected from 'PEPPER-12p' to 'Pear'
2025-09-01T11:58:35,Spice Merchant,RED PEPPER-12p,Product corrected from 'PEPPER-12p' to 'Pear'
2025-09-01T12:07:17,Spice Merchant,0.5 Box Coriande,Product corrected from 'Coriande' to 'Coriander'
2025-09-01T12:20:58,Spice Merchant,7 box Tom,Product corrected from 'Tom' to 'Tomato'
2025-09-01T12:24:35,Spice Merchant,['7 box Tom'],Product corrected from 'Tom']' to 'Tomato beef'
2025-09-01T12:45:28,Spice Merchant,0.5bx Green Pepper,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large'
2025-09-01T12:45:29,Spice Merchant,0.5kg Green Chilli,Product corrected from 'Chilli' to 'Green Chilli'
2025-09-01T12:45:30,Spice Merchant,1box Potato,Product corrected from 'Potato' to 'Potato 4 kg'
2025-09-01T12:45:31,Spice Merchant,1box Lettuce,Product corrected from 'Lettuce' to 'Bionda Lettuce'
2025-09-01T12:45:32,Spice Merchant,2bg Mushroom,Product corrected from 'Mushroom' to 'Mushroom Button'
2025-09-01T13:02:14,Spice Merchant,1 box Potato,Product corrected from 'Potato' to 'Potato 4 kg'
2025-09-01T13:02:15,Spice Merchant,4 box Mushroom Cup,Product corrected from 'Cup' to 'Chutney Cup'
2025-09-01T13:02:15,Spice Merchant,1 box Mix Salad,Product corrected from 'Salad' to 'Mix Salad'
2025-09-01T13:02:16,Spice Merchant,1.5 box Lettuce,Product corrected from 'Lettuce' to 'Cos lettuce'
2025-09-01T13:02:17,Spice Merchant,4 box Brinjol,Product corrected from 'Brinjol' to 'Aubargine'
2025-09-01T13:02:17,Spice Merchant,6box Coli Flawr,Product corrected from 'Flawr' to 'flour'
2025-09-01T13:02:18,Spice Merchant,1box Container Cling,Product corrected from 'Cling' to 'Orange jucing'
2025-09-01T13:02:20,Spice Merchant,1bx Pepper Mix,Product corrected from 'Mix' to 'Mix Salad'
2025-09-01T13:02:22,Spice Merchant,1kg Bullet Chilli,Product corrected from 'Chilli' to 'Green Chilli'
2025-09-01T13:02:24,Spice Merchant,1box Genzar,Product corrected from 'Genzar' to 'Garlic (Chinese)'
2025-09-01T13:08:56,Spice Merchant,2piece Red Pepper,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large'
2025-09-01T14:23:47,Spice Merchant,2 piece Red Pepper,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large'
2025-09-01T14:44:04,Spice Merchant,1box Potato,Product corrected from 'Potato' to 'Potato 4 kg'
2025-09-01T14:44:06,Spice Merchant,1 piece Lettuce,Product corrected from 'Lettuce' to 'Cos lettuce'
2025-09-01T14:44:07,Spice Merchant,3bg Aubergine,Product corrected from 'Aubergine' to 'Aubargine'
2025-09-01T14:44:08,Spice Merchant,2box Mushroom,Product corrected from 'Mushroom' to 'Mushroom Button'
2025-09-01T14:57:18,Spice Merchant,2p Redpepper,Product corrected from 'Redpepper' to 'Pear'
2025-09-01T15:00:37,My Test Restaurant,2box Red Pepper,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large'
2025-09-01T15:10:12,Spice Merchant,2p Red Pepper,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large'
2025-09-01T15:10:37,Spice Merchant,2p Red Pepper,Product corrected from 'Red' to 'Apple red'
2025-09-01T15:17:13,Spice Merchant,2p Red Pepper,Product corrected from '2p Red Pepper' to 'Pepper Red'
2025-09-01T15:21:07,Spice Merchant,2bg Red Pepper,Product corrected from '2bg Red Pepper' to 'Pepper Red'
2025-09-01T15:21:08,Spice Merchant,1bx Ice Cream,Product corrected from '1bx Ice Cream' to 'Rice'
2025-09-01T15:21:09,Spice Merchant,4bg Sweet Potato,Product corrected from '4bg Sweet Potato' to 'Potato Sweet'
2025-09-01T15:34:51,Spice Merchant,1bx Sweet Potato,Product corrected from '1bx Sweet Potato' to 'Potato Sweet'
2025-09-01T15:43:31,Spice Merchant,12piece Red Pepper,Product corrected from '12piece Red Pepper' to 'Apple red'
2025-09-01T15:44:04,Spice Merchant,2p Red Pepper,Product corrected from '2p Red Pepper' to 'Pepper Red'
2025-09-01T15:44:21,Spice Merchant,12p Red Pepper,Product corrected from '12p Red Pepper' to 'Pepper Red'
2025-09-01T15:44:51,Spice Merchant,12piece Red Pepper,Product corrected from '12piece Red Pepper' to 'Apple red'
2025-09-01T17:00:13,Spice Merchant,3bg Aubergine,Product corrected from '3bg Aubergine' to 'Aubargine'
2025-09-01T17:00:13,Spice Merchant,2bg Mushroom,Product corrected from '2bg Mushroom' to 'Mushroom Button'
2025-09-01T17:03:42,Spice Merchant,1 box Potato,Product corrected from '1 box Potato' to 'Kadu/Jaali Box NO 306 Kadu/Jaali Pieces NO 307 Kadu/Jaali Kg NO 308 Kai Choi'
2025-09-01T17:03:43,Spice Merchant,4box Mushroom Cups,Product corrected from '4box Mushroom Cups' to 'Mushroom Cup'
2025-09-01T17:03:44,Spice Merchant,1.5bx Lettuce,Product corrected from '1.5bx Lettuce' to 'Cos lettuce'
2025-09-01T17:03:45,Spice Merchant,4box Brinjol,Product corrected from '4box Brinjol' to 'Aubargine'
2025-09-01T17:03:46,Spice Merchant,1bx Container Cling,Product corrected from '1bx Container Cling' to 'Ginger'
2025-09-01T17:03:47,Spice Merchant,1bx Mix Pepper,Product corrected from '1bx Mix Pepper' to 'Mix Pieces NO 437 Mix Kg NO 438 mix flour'
2025-09-01T17:03:48,Spice Merchant,1kg Bullet Chilli,Product corrected from '1kg Bullet Chilli' to 'Green Bullet Chilli'
2025-09-01T17:03:50,Spice Merchant,1bx Genzar,Product corrected from '1bx Genzar' to 'Pear'
2025-09-01T17:09:29,Spice Merchant,10p Red Pepper,Product corrected from '10p Red Pepper' to 'Pepper Red'
2025-09-01T17:10:36,Spice Merchant,1 box Potato,Product corrected from '1 box Potato' to 'Kadu/Jaali Box NO 306 Kadu/Jaali Pieces NO 307 Kadu/Jaali Kg NO 308 Kai Choi'
2025-09-01T17:11:35,Spice Merchant,1 box Potato,Product corrected from '1 box Potato' to 'Potato White'
2025-09-01T17:13:12,Spice Merchant,1bg Donia,Product corrected from '1bg Donia' to 'Coriander'
2025-09-01T17:13:12,Spice Merchant,1bg Potato,Product corrected from '1bg Potato' to 'Potato White'
2025-09-03T16:21:11,Spice Merchant,1 box Potato,Product corrected from '1 box Potato' to 'Potato White'
2025-09-03T16:21:13,Spice Merchant,1.5bx Lettuce,Product corrected from '1.5bx Lettuce' to 'Cos lettuce'
2025-09-03T16:21:14,Spice Merchant,4box Brinjol,Product corrected from '4box Brinjol' to 'Aubargine'
2025-09-03T16:21:15,Spice Merchant,1bx Cling Container,Product corrected from '1bx Cling Container' to 'Ginger'
2025-09-03T16:21:16,Spice Merchant,1bx Pepper Mix,Product corrected from '1bx Pepper Mix' to 'Mix Pieces NO 437 Mix Kg NO 438 mix flour'
2025-09-03T16:21:17,Spice Merchant,1kg Bullet Chilli,Product corrected from '1kg Bullet Chilli' to 'Green Bullet Chilli'
2025-09-03T16:21:18,Spice Merchant,1bx Genzar,Product corrected from '1bx Genzar' to 'Pear'
2025-09-03T16:22:28,Spice Merchant,1bx Mix Pepper,Product corrected from '1bx Mix Pepper' to 'Mix Pieces NO 437 Mix Kg NO 438 mix flour'
2025-09-03T16:25:12,Spice Merchant,1bx Mix Pepper,Product corrected from '1bx Mix Pepper' to 'Mix Pieces NO 437 Mix Kg NO 438 mix flour'
2025-09-03T16:27:44,Spice Merchant,1bx Mix Pepper,Product corrected from '1bx Mix Pepper' to 'Paper(mix cap)'
2025-09-03T16:38:06,Spice Merchant,7bg Broccoli,Product corrected from '7bg Broccoli' to 'Brocoli'
2025-09-03T16:38:07,Spice Merchant,3bg Aubergine,Product corrected from '3bg Aubergine' to 'Aubargine'
2025-09-03T16:41:17,Spice Merchant,7 bg Avocado,Product corrected from '7 bg Avocado' to 'Avacado'
2025-09-03T16:42:38,Spice Merchant,7bg Avocado,Product corrected from '7bg Avocado' to 'Avacado'
2025-09-03T16:45:43,Spice Merchant,7bg Avocado,Product corrected from '7bg Avocado' to 'Avacado'
2025-09-03T16:45:47,Spice Merchant,7bg Broccoli,Product corrected from '7bg Broccoli' to 'Brocoli'
2025-09-03T16:45:52,Spice Merchant,3bg Aubergine,Product corrected from '3bg Aubergine' to 'Aubargine'
2025-09-03T17:05:47,Spice Merchant,7bx Avocado,Product corrected from '7bx Avocado' to 'Avacado'
2025-09-03T17:05:50,Spice Merchant,7bx Broccoli,Product corrected from '7bx Broccoli' to 'Brocoli'
2025-09-03T17:05:52,Spice Merchant,3bx Aubergine,Product corrected from '3bx Aubergine' to 'Aubargine'
2025-09-03T17:05:53,Spice Merchant,6bg Potato,Product corrected from '6bg Potato' to 'Potato White'
2025-09-03T17:09:25,Spice Merchant,3bx Aubergine,Product corrected from '3bx Aubergine' to 'Aubargine'
2025-09-03T17:09:26,Spice Merchant,6bg Potato,Product corrected from '6bg Potato' to 'Potato White'
2025-09-04T14:54:48,My Test Restaurant,6bg Potato,Product corrected from '6bg Potato' to 'Potato White'
2025-09-04T14:57:10,My Test Restaurant,3bx Meatpotato,Product corrected from '3bx Meatpotato' to 'Tomato'
2025-09-04T14:59:08,My Test Restaurant,2bx Donia,Product corrected from '2bx Donia' to 'Coriander'
2025-09-04T15:02:51,My Test Restaurant,2bx Dofohefeeddeqwd,Product corrected from '2bx Dofohefeeddeqwd' to 'Ghee'
