restaurent_id,restaurent_name,quantity,unit,product,corrections ,date,original text,need_attention,Message
1,Spice Merchant,3,Bag,Onion,,03/11/2025,,,
1,Spice Merchant,1,Box,Tomato,Product corrected from 'Tom' to 'Tomato',03/11/2025,,,
1,Spice Merchant,1,Bag,Coriander,Product corrected from 'donia' to 'Coriander',03/11/2025,,,
1,Spice Merchant,1,Bag,Potato,,03/11/2025,,,
2,My Test Restaurant,2,Box,Tomato,Product corrected from 'Tom' to 'Tomato',03/11/2025,,,
2,My Test Restaurant,1,bg,onion,,03/11/2025,,,
2,My Test Restaurant,1,bg,onion,,03/11/2025,,,
2,My Test Restaurant,2,bx,Tom,,03/11/2025,,,
2,My Test Restaurant,1,bg,onion,,03/11/2025,,,
2,My Test Restaurant,2,bx,Tom,,03/11/2025,,,
2,My Test Restaurant,1,bg,onion,,03/11/2025,,,
2,My Test Restaurant,2,bx,Tom,,03/11/2025,,,
----------,,,,,,03/11/2025,,,
2,My Test Restaurant,2,bg,Onion,,03/11/2025,,,
2,My Test Restaurant,2,bx,Tomato,Product corrected from 'Tom' to 'Tomato',03/11/2025,,,
------------------,,,,,,03/11/2025,,,
1,Spice Merchant,12,Piece,Apple,Product corrected from 'PEPPER-12p' to 'Apple',03/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,03/11/2025,,,
1,Spice Merchant,5,Kilogram,Carrot,,03/11/2025,,,
1,Spice Merchant,2,Kilogram,Lettuce,Product corrected from 'COURGETTES-2kg' to 'Lettuce',03/11/2025,,,
1,Spice Merchant,12,Piece,Pear,Product corrected from 'PEPPER-12p' to 'Pear',03/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,03/11/2025,,,
1,Spice Merchant,5,Kilogram,Carrot,,03/11/2025,,,
1,Spice Merchant,2,Kilogram,Courgettes,,03/11/2025,,,
1,Spice Merchant,12,Piece,Pear,Product corrected from 'PEPPER-12p' to 'Pear',03/11/2025,,,
1,Spice Merchant,12,Piece,Pear,Product corrected from 'PEPPER-12p' to 'Pear',03/11/2025,,,
1,Spice Merchant,0,Box,Coriander,,03/11/2025,,,
1,Spice Merchant,0,Box,Coriander,Product corrected from 'Coriande' to 'Coriander',03/11/2025,,,
-----,,,,,,03/11/2025,,,
1,Spice Merchant,0.5,Box,Coriander,,03/11/2025,,,
1,Spice Merchant,7,Box,Tomato,Product corrected from 'Tom' to 'Tomato',03/11/2025,,,
1,Spice Merchant,7,Box,Tomato beef,Product corrected from 'Tom']' to 'Tomato beef',03/11/2025,,,
-------------,,,,,,03/11/2025,,,
1,Spice Merchant,7,Box,Tomato,,03/11/2025,,,
1,Spice Merchant,3,Bag,Onion,,03/11/2025,,,
1,Spice Merchant,1,Box,Cabbage,,03/11/2025,,,
1,Spice Merchant,0.5,Box,Pepper (Green + Red) Large,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large',03/11/2025,,,
1,Spice Merchant,12,Box,Orange,,04/11/2025,,,
1,Spice Merchant,5,Box,Lemon,,04/11/2025,,,
1,Spice Merchant,0.5,Kilogram,Green Chilli,Product corrected from 'Chilli' to 'Green Chilli',04/11/2025,,,
1,Spice Merchant,0.5,Box,Coriander,,04/11/2025,,,
1,Spice Merchant,1,Box,Potato 4 kg,Product corrected from 'Potato' to 'Potato 4 kg',04/11/2025,,,
1,Spice Merchant,1,Bag,Garlic,,04/11/2025,,,
1,Spice Merchant,1,Box,Ginger,,04/11/2025,,,
1,Spice Merchant,1,Bag,Onion,,04/11/2025,,,
1,Spice Merchant,5,Box,Cucumber,,04/11/2025,,,
1,Spice Merchant,1,Box,Bionda Lettuce,Product corrected from 'Lettuce' to 'Bionda Lettuce',04/11/2025,,,
1,Spice Merchant,3,Bag,Aubargine,,04/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,04/11/2025,,,
1,Spice Merchant,2,Bag,Mushroom Button,Product corrected from 'Mushroom' to 'Mushroom Button',04/11/2025,,,
1,Spice Merchant,5,Bag,Carrot,,04/11/2025,,,
1,Spice Merchant,2,Box,Courgettes,,04/11/2025,,,
-----------,,,,,,04/11/2025,,,
,,,,,,04/11/2025,,,
1,Spice Merchant,4,Bag,Onion,,04/11/2025,,,
1,Spice Merchant,1,Box,Potato 4 kg,Product corrected from 'Potato' to 'Potato 4 kg',04/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,04/11/2025,,,
1,Spice Merchant,4,Box,Chutney Cup,Product corrected from 'Cup' to 'Chutney Cup',04/11/2025,,,
1,Spice Merchant,1,Box,Mix Salad,Product corrected from 'Salad' to 'Mix Salad',04/11/2025,,,
1,Spice Merchant,1.5,Box,Cos lettuce,Product corrected from 'Lettuce' to 'Cos lettuce',04/11/2025,,,
1,Spice Merchant,4,Box,Aubargine,Product corrected from 'Brinjol' to 'Aubargine',04/11/2025,,,
1,Spice Merchant,6,Box,flour,Product corrected from 'Flawr' to 'flour',04/11/2025,,,
1,Spice Merchant,1,Box,Cabbage,,04/11/2025,,,
1,Spice Merchant,1,Box,Orange jucing,Product corrected from 'Cling' to 'Orange jucing',04/11/2025,,,
1,Spice Merchant,10,piece,Lime,,04/11/2025,,,
1,Spice Merchant,1,Box,Mix Salad,Product corrected from 'Mix' to 'Mix Salad',04/11/2025,,,
1,Spice Merchant,0.5,Box,Carrot,,04/11/2025,,,
1,Spice Merchant,1,Kilogram,Green Chilli,Product corrected from 'Chilli' to 'Green Chilli',04/11/2025,,,
1,Spice Merchant,40,Box,Lemon,,04/11/2025,,,
1,Spice Merchant,1,Box,Garlic (Chinese),Product corrected from 'Genzar' to 'Garlic (Chinese)',04/11/2025,,,
--------,,,,,,04/11/2025,,,
,,,,,,04/11/2025,,,
1,Spice Merchant,2,piece,Pepper (Green + Red) Large,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large',04/11/2025,,,
1,Spice Merchant,2,piece,Pepper (Green + Red) Large,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large',05/11/2025,,,
------------------------------,,,,,,05/11/2025,,,
1,Spice Merchant,1,Box,Cabbage,,05/11/2025,,,
1,Spice Merchant,12,Box,Orange,,05/11/2025,,,
1,Spice Merchant,5,Box,Lemon,,05/11/2025,,,
1,Spice Merchant,0.5,Box,Coriander,,05/11/2025,,,
1,Spice Merchant,1,Box,Potato 4 kg,Product corrected from 'Potato' to 'Potato 4 kg',05/11/2025,,,
1,Spice Merchant,1,Bag,Garlic,,05/11/2025,,,
1,Spice Merchant,1,Box,Ginger,,05/11/2025,,,
1,Spice Merchant,6,Bag,Onion,,05/11/2025,,,
1,Spice Merchant,5,Box,Cucumber,,05/11/2025,,,
1,Spice Merchant,1,piece,Cos lettuce,Product corrected from 'Lettuce' to 'Cos lettuce',05/11/2025,,,
1,Spice Merchant,3,Bag,Aubargine,Product corrected from 'Aubergine' to 'Aubargine',05/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,05/11/2025,,,
1,Spice Merchant,2,Box,Mushroom Button,Product corrected from 'Mushroom' to 'Mushroom Button',05/11/2025,,,
1,Spice Merchant,5,Kilogram,Carrot,,05/11/2025,,,
1,Spice Merchant,2,Kilogram,Courgettes,,05/11/2025,,,
1,Spice Merchant,2,Piece,Pear,Product corrected from 'Redpepper' to 'Pear',05/11/2025,,,
2,My Test Restaurant,2,Box,Pepper (Green + Red) Large,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large',05/11/2025,,,
------------,,,,,,05/11/2025,,,
1,Spice Merchant,2,Piece,Pepper (Green + Red) Large,Product corrected from 'Pepper' to 'Pepper (Green + Red) Large',05/11/2025,,,
1,Spice Merchant,2,Piece,Apple red,Product corrected from 'Red' to 'Apple red',05/11/2025,,,
1,Spice Merchant,2,Piece,Pepper Red,Product corrected from '2p Red Pepper' to 'Pepper Red',05/11/2025,,,
1,Spice Merchant,2,Bag,Onion,,05/11/2025,,,
1,Spice Merchant,2,Box,Green Chilli,,05/11/2025,,,
-----------------------------,,,,,,05/11/2025,,,
,,,,,,05/11/2025,,,
1,Spice Merchant,2,Bag,Pepper Red,Product corrected from '2bg Red Pepper' to 'Pepper Red',05/11/2025,,,
1,Spice Merchant,3,Kilogram,Green Chilli,,05/11/2025,,,
1,Spice Merchant,1,Box,Rice,Product corrected from '1bx Ice Cream' to 'Rice',05/11/2025,,,
1,Spice Merchant,5,Piece,Onion,,05/11/2025,,,
1,Spice Merchant,4,Bag,Potato Sweet,Product corrected from '4bg Sweet Potato' to 'Potato Sweet',05/11/2025,,,
1,Spice Merchant,5,Piece,Onion,,05/11/2025,,,
1,Spice Merchant,5,Piece,Onion,,05/11/2025,,,
1,Spice Merchant,5,Piece,Onion,,05/11/2025,,,
1,Spice Merchant,5,Piece,Iceberg Lettuce,,05/11/2025,,,
1,Spice Merchant,5,Piece,Onion,,05/11/2025,,,
1,Spice Merchant,1,Box,Potato Sweet,Product corrected from '1bx Sweet Potato' to 'Potato Sweet',05/11/2025,,,
---------------------------------,,,,,,05/11/2025,,,
1,Spice Merchant,1,Bag,Cabbage,,05/11/2025,,,
1,Spice Merchant,12,Box,Orange,,05/11/2025,,,
1,Spice Merchant,5,Box,Lemon,,05/11/2025,,,
1,Spice Merchant,0.5,Box,Coriander,,05/11/2025,,,
1,Spice Merchant,6,Bag,Onion,,05/11/2025,,,
1,Spice Merchant,5,Box,Cucumber,,05/11/2025,,,
1,Spice Merchant,3,Bag,Aubargine,,05/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,05/11/2025,,,
1,Spice Merchant,5,Kilogram,Carrot,,05/11/2025,,,
1,Spice Merchant,2,Kilogram,Courgettes,,05/11/2025,,,
1,Spice Merchant,12,piece,Apple red,Product corrected from '12piece Red Pepper' to 'Apple red',05/11/2025,,,
1,Spice Merchant,2,Piece,Pepper Red,Product corrected from '2p Red Pepper' to 'Pepper Red',05/11/2025,,,
1,Spice Merchant,12,Piece,Pepper Red,Product corrected from '12p Red Pepper' to 'Pepper Red',05/11/2025,,,
1,Spice Merchant,12,piece,Apple red,Product corrected from '12piece Red Pepper' to 'Apple red',05/11/2025,,,
1,Spice Merchant,12,Box,Onion,,05/11/2025,,,
-----------,,,,,,05/11/2025,,,
1,Spice Merchant,12,Box,Onion,,05/11/2025,,,
-----------------,,,,,,05/11/2025,,,
,,,,,,05/11/2025,,,
1,Spice Merchant,12,Box,Onion,,05/11/2025,,,
1,Spice Merchant,5,Piece,Onion,,05/11/2025,,,
1,Spice Merchant,5,Piece,Onion,,05/11/2025,,,
----------------,,,,,,05/11/2025,,,
,,,,,,05/11/2025,,,
1,Spice Merchant,5,Piece,onion spring,,05/11/2025,,,
-------------------------,,,,,,05/11/2025,,,
1,Spice Merchant,1,Box,Cabbage,,05/11/2025,,,
---------------------,,,,,,05/11/2025,,,
,,,,,,05/11/2025,,,
1,Spice Merchant,1,Bag,Cabbage,,05/11/2025,,,
1,Spice Merchant,12,Box,Orange,,05/11/2025,,,
1,Spice Merchant,0.5,Box,Coriander,,05/11/2025,,,
1,Spice Merchant,5,Box,Cucumber,,05/11/2025,,,
1,Spice Merchant,3,Bag,Aubargine,Product corrected from '3bg Aubergine' to 'Aubargine',05/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,05/11/2025,,,
1,Spice Merchant,2,Bag,Mushroom Button,Product corrected from '2bg Mushroom' to 'Mushroom Button',05/11/2025,,,
1,Spice Merchant,5,Kilogram,Carrot,,05/11/2025,,,
1,Spice Merchant,2,Kilogram,Courgettes,,05/11/2025,,,
---------------,,,,,,05/11/2025,,,
1,Spice Merchant,4,Bag,Onion,,05/11/2025,,,
1,Spice Merchant,1,Box,Kadu/Jaali Box NO 306 Kadu/Jaali Pieces NO 307 Kadu/Jaali Kg NO 308 Kai Choi,Product corrected from '1 box Potato' to 'Kadu/Jaali Box NO 306 Kadu/Jaali Pieces NO 307 Kadu/Jaali Kg NO 308 Kai Choi',05/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,05/11/2025,,,
1,Spice Merchant,4,Box,Mushroom Cup,Product corrected from '4box Mushroom Cups' to 'Mushroom Cup',05/11/2025,,,
1,Spice Merchant,1,Box,Mix Salad,,05/11/2025,,,
1,Spice Merchant,1.5,Box,Cos lettuce,Product corrected from '1.5bx Lettuce' to 'Cos lettuce',05/11/2025,,,
1,Spice Merchant,4,Box,Aubargine,Product corrected from '4box Brinjol' to 'Aubargine',05/11/2025,,,
1,Spice Merchant,6,Bag,flour,,05/11/2025,,,
1,Spice Merchant,1,Bag,Cabbage,,05/11/2025,,,
1,Spice Merchant,1,Box,Ginger,Product corrected from '1bx Container Cling' to 'Ginger',05/11/2025,,,
1,Spice Merchant,10,Piece,Lime,,05/11/2025,,,
1,Spice Merchant,1,Box,Mix Pieces NO 437 Mix Kg NO 438 mix flour,Product corrected from '1bx Mix Pepper' to 'Mix Pieces NO 437 Mix Kg NO 438 mix flour',05/11/2025,,,
1,Spice Merchant,0.5,Box,Carrot,,05/11/2025,,,
1,Spice Merchant,1,Kilogram,Green Bullet Chilli,Product corrected from '1kg Bullet Chilli' to 'Green Bullet Chilli',05/11/2025,,,
1,Spice Merchant,40,Box,Lemon,,05/11/2025,,,
1,Spice Merchant,1,Box,Pear,Product corrected from '1bx Genzar' to 'Pear',05/11/2025,,,
1,Spice Merchant,0.5,Box,Onion,,05/11/2025,,,
1,Spice Merchant,3,Box,Garlic,,05/11/2025,,,
-----------,,,,,,05/11/2025,,,
1,Spice Merchant,12,Box,Pepper Green,,05/11/2025,,,
1,Spice Merchant,10,Piece,Pepper Red,Product corrected from '10p Red Pepper' to 'Pepper Red',05/11/2025,,,
1,Spice Merchant,10,Piece,Onion Spring,,05/11/2025,,,
1,Spice Merchant,1,Box,Kadu/Jaali Box NO 306 Kadu/Jaali Pieces NO 307 Kadu/Jaali Kg NO 308 Kai Choi,Product corrected from '1 box Potato' to 'Kadu/Jaali Box NO 306 Kadu/Jaali Pieces NO 307 Kadu/Jaali Kg NO 308 Kai Choi',05/11/2025,,,
1,Spice Merchant,1,Box,Potato White,Product corrected from '1 box Potato' to 'Potato White',05/11/2025,,,
--------------,,,,,,05/11/2025,,,
1,Spice Merchant,3,Bag,Onion,,05/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,05/11/2025,,,
1,Spice Merchant,1,Bag,Coriander,Product corrected from '1bg Donia' to 'Coriander',05/11/2025,,,
1,Spice Merchant,1,Bag,Potato White,Product corrected from '1bg Potato' to 'Potato White',05/11/2025,,,
1,Spice Merchant,4,Bag,Onion,,05/11/2025,,,
1,Spice Merchant,1,Box,Potato White,Product corrected from '1 box Potato' to 'Potato White',05/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,05/11/2025,,,
1,Spice Merchant,4,Box,Mushroom Cup,,05/11/2025,,,
1,Spice Merchant,1,Box,Mix Salad,,05/11/2025,,,
1,Spice Merchant,1.5,Box,Cos lettuce,Product corrected from '1.5bx Lettuce' to 'Cos lettuce',05/11/2025,,,
1,Spice Merchant,4,Box,Aubargine,Product corrected from '4box Brinjol' to 'Aubargine',05/11/2025,,,
1,Spice Merchant,6,Bag,flour,,05/11/2025,,,
1,Spice Merchant,1,Bag,Cabbage,,05/11/2025,,,
1,Spice Merchant,1,Box,Ginger,Product corrected from '1bx Cling Container' to 'Ginger',05/11/2025,,,
1,Spice Merchant,10,piece,Lime,,05/11/2025,,,
1,Spice Merchant,2,Box,Yogurt,,05/11/2025,,,
1,Spice Merchant,1,Box,Mix Pieces NO 437 Mix Kg NO 438 mix flour,Product corrected from '1bx Pepper Mix' to 'Mix Pieces NO 437 Mix Kg NO 438 mix flour',05/11/2025,,,
1,Spice Merchant,0.5,Box,Carrot,,05/11/2025,,,
1,Spice Merchant,1,Kilogram,Green Bullet Chilli,Product corrected from '1kg Bullet Chilli' to 'Green Bullet Chilli',05/11/2025,,,
1,Spice Merchant,40,Box,Lemon,,05/11/2025,,,
1,Spice Merchant,1,Box,Pear,Product corrected from '1bx Genzar' to 'Pear',05/11/2025,,,
1,Spice Merchant,0.5,Box,Spinach,,05/11/2025,,,
